Name,Label,Domain,Range,URI,Count,MVE,OE,Sparql-Template,Generator-Query-Template
destructionDate,destruction date,owl:Thing,xsd:date,http://dbpedia.org/ontology/destructionDate,69,what is the destruction date of <A>,when was <A> destroyed,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/destructionDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/destructionDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
developer,developer,owl:Thing,Agent,http://dbpedia.org/ontology/developer,27978,what is the developer of <A>,what is the developer of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/developer> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/developer> [] . ?a a <http://dbpedia.org/ontology/Place> }
diameter,diameter,owl:Thing,Length,http://dbpedia.org/ontology/diameter,2731,what is the diameter of <A>,what is the diameter of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/diameter> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/diameter> [] . ?a a <http://dbpedia.org/ontology/Place> }
diocese,diocese,owl:Thing,Diocese,http://dbpedia.org/ontology/diocese,10436,what is the diocese of <A>,what is the diocese of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/diocese> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/diocese> [] . ?a a <http://dbpedia.org/ontology/Place> }
discoverer,discoverer,owl:Thing,Person,http://dbpedia.org/ontology/discoverer,3828,who is the discoverer of <A>,who is the discoverer of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/discoverer> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/discoverer> [] . ?a a <http://dbpedia.org/ontology/Place> }
disease,disease,owl:Thing,Disease,http://dbpedia.org/ontology/disease,28,what is the disease of <A>,what is the disease of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/disease> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/disease> [] . ?a a <http://dbpedia.org/ontology/Place> }
distance,distance,owl:Thing,Length,http://dbpedia.org/ontology/distance,1578,what is the distance of <A>,what is the distance of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/distance> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/distance> [] . ?a a <http://dbpedia.org/ontology/Place> }
distributor,distributor,owl:Thing,Organisation,http://dbpedia.org/ontology/distributor,80302,what is the distributor of <A>,what is the distributor of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/distributor> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/distributor> [] . ?a a <http://dbpedia.org/ontology/Place> }
district,district,Place,PopulatedPlace,http://dbpedia.org/ontology/district,33959,what is the district of <A>,what is the district of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/district> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/district> [] . ?a a <http://dbpedia.org/ontology/Place> }
division,division,owl:Thing,owl:Thing,http://dbpedia.org/ontology/division,17847,what is the division of <A>,what is the division of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/division> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/division> [] . ?a a <http://dbpedia.org/ontology/Place> }
draft,draft,owl:Thing,xsd:string,http://dbpedia.org/ontology/draft,10798,what is the draft of <A>,what is the draft of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/draft> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/draft> [] . ?a a <http://dbpedia.org/ontology/Place> }
draftYear,draft year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/draftYear,32637,what is the draft year of <A>,what is the draft year of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/draftYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/draftYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
drugbank,DrugBank,owl:Thing,xsd:string,http://dbpedia.org/ontology/drugbank,2431,what is the DrugBank of <A>,what is the DrugBank of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/drugbank> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/drugbank> [] . ?a a <http://dbpedia.org/ontology/Place> }
duration,duration,owl:Thing,Time,http://dbpedia.org/ontology/duration,98,what is the duration of <A>,what is the duration of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/duration> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/duration> [] . ?a a <http://dbpedia.org/ontology/Place> }
editor,editor,owl:Thing,Agent,http://dbpedia.org/ontology/editor,6088,what is the editor of <A>,what is the editor of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/editor> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/editor> [] . ?a a <http://dbpedia.org/ontology/Place> }
electionMajority,election majority,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/electionMajority,54,what is the election majority of <A>,what is the election majority of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/electionMajority> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/electionMajority> [] . ?a a <http://dbpedia.org/ontology/Place> }
elevation,elevation,Place,Length,http://dbpedia.org/ontology/elevation,225985,what is the elevation of <A>,what is the elevation of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/elevation> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/elevation> [] . ?a a <http://dbpedia.org/ontology/Place> }
engineer,engineer,owl:Thing,Person,http://dbpedia.org/ontology/engineer,102,who is the engineer of <A>,who is the engineer of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/engineer> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/engineer> [] . ?a a <http://dbpedia.org/ontology/Place> }
era,era,owl:Thing,owl:Thing,http://dbpedia.org/ontology/era,1867,what is the era of <A>,what is the era of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/era> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/era> [] . ?a a <http://dbpedia.org/ontology/Place> }
ethnicGroupsInYear,ethnic groups in year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/ethnicGroupsInYear,3,what is the ethnic groups in year of <A>,what is the ethnic groups in year of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/ethnicGroupsInYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/ethnicGroupsInYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
event,event,owl:Thing,Event,http://dbpedia.org/ontology/event,2027,what is the event of <A>,what is the event of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/event> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/event> [] . ?a a <http://dbpedia.org/ontology/Place> }
executiveProducer,executive producer,owl:Thing,Person,http://dbpedia.org/ontology/executiveProducer,11057,who is the executive producer of <A>,who is the executive producer of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/executiveProducer> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/executiveProducer> [] . ?a a <http://dbpedia.org/ontology/Place> }
failedLaunches,failed launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/failedLaunches,222,what is the failed launches of <A>,what is the failed launches of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/failedLaunches> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/failedLaunches> [] . ?a a <http://dbpedia.org/ontology/Place> }
fdaUniiCode,FDA UNII code,owl:Thing,xsd:string,http://dbpedia.org/ontology/fdaUniiCode,6406,what is the FDA UNII code of <A>,what is the FDA UNII code of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/fdaUniiCode> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/fdaUniiCode> [] . ?a a <http://dbpedia.org/ontology/Place> }
feastDay,"""""""feast day""",""" holiday""""""",owl:Thing,xsd:date,http://dbpedia.org/ontology/feastDay,"""what is the """"feast day of <A>""","""what is the """"feast day of <A>""",SELECT ?x WHERE { <A> <xsd:date> ?x },SELECT ?a WHERE { ?a <xsd:date> [] . ?a a <http://dbpedia.org/ontology/Place> }
firstLeader,firstLeader,owl:Thing,Person,http://dbpedia.org/ontology/firstLeader,5041,who is the firstLeader of <A>,who is the firstLeader of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/firstLeader> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/firstLeader> [] . ?a a <http://dbpedia.org/ontology/Place> }
firstPopularVote,firstPopularVote,owl:Thing,Person,http://dbpedia.org/ontology/firstPopularVote,45,who is the firstPopularVote of <A>,who is the firstPopularVote of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/firstPopularVote> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/firstPopularVote> [] . ?a a <http://dbpedia.org/ontology/Place> }
floodingDate,flooding date,owl:Thing,xsd:date,http://dbpedia.org/ontology/floodingDate,27,what is the flooding date of <A>,what is the flooding date of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/floodingDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/floodingDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
focus,focus,owl:Thing,owl:Thing,http://dbpedia.org/ontology/focus,10,what is the focus of <A>,what is the focus of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/focus> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/focus> [] . ?a a <http://dbpedia.org/ontology/Place> }
format,format (object),owl:Thing,owl:Thing,http://dbpedia.org/ontology/format,23883,what is the format (object) of <A>,what is the format (object) of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/format> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/format> [] . ?a a <http://dbpedia.org/ontology/Place> }
formerName,former name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/formerName,19554,what is the former name of <A>,what is the former name of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/formerName> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/formerName> [] . ?a a <http://dbpedia.org/ontology/Place> }
foundedBy,founded by,owl:Thing,Agent,http://dbpedia.org/ontology/foundedBy,17333,what is the founded by of <A>,what is the founded by of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/foundedBy> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/foundedBy> [] . ?a a <http://dbpedia.org/ontology/Place> }
founder,founder,owl:Thing,Person,http://dbpedia.org/ontology/founder,2167,who is the founder of <A>,who is the founder of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/founder> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/founder> [] . ?a a <http://dbpedia.org/ontology/Place> }
foundingDate,founding date,owl:Thing,xsd:date,http://dbpedia.org/ontology/foundingDate,38091,what is the founding date of <A>,what is the founding date of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/foundingDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/foundingDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
foundingYear,founding year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/foundingYear,107281,what is the founding year of <A>,what is the founding year of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/foundingYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/foundingYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
frequency,frequency,owl:Thing,Frequency,http://dbpedia.org/ontology/frequency,15600,what is the frequency of <A>,what is the frequency of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/frequency> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/frequency> [] . ?a a <http://dbpedia.org/ontology/Place> }
fuelType,fuel type,owl:Thing,owl:Thing,http://dbpedia.org/ontology/fuelType,1335,what is the fuel type of <A>,what is the fuel type of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/fuelType> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/fuelType> [] . ?a a <http://dbpedia.org/ontology/Place> }
gender,gender,owl:Thing,owl:Thing,http://dbpedia.org/ontology/gender,640,what is the gender of <A>,what is the gender of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/gender> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/gender> [] . ?a a <http://dbpedia.org/ontology/Place> }
genre,genre,owl:Thing,Genre,http://dbpedia.org/ontology/genre,220423,what is the genre of <A>,what is the genre of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/genre> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/genre> [] . ?a a <http://dbpedia.org/ontology/Place> }
governingBody,governing body,Place,Organisation,http://dbpedia.org/ontology/governingBody,7441,what is the governing body of <A>,what is the governing body of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/governingBody> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/governingBody> [] . ?a a <http://dbpedia.org/ontology/Place> }
governmentType,government type,owl:Thing,GovernmentType,http://dbpedia.org/ontology/governmentType,17870,what is the government type of <A>,what is the government type of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/governmentType> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/governmentType> [] . ?a a <http://dbpedia.org/ontology/Place> }
governor,governor,owl:Thing,Person,http://dbpedia.org/ontology/governor,7560,who is the governor of <A>,who is the governor of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/governor> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/governor> [] . ?a a <http://dbpedia.org/ontology/Place> }
governorGeneral,governor general,owl:Thing,Person,http://dbpedia.org/ontology/governorGeneral,628,who is the governor general of <A>,who is the governor general of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/governorGeneral> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/governorGeneral> [] . ?a a <http://dbpedia.org/ontology/Place> }
greekName,name in ancient Greek,owl:Thing,xsd:string,http://dbpedia.org/ontology/greekName,24,what is the name in ancient Greek of <A>,what is the name in ancient Greek of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/greekName> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/greekName> [] . ?a a <http://dbpedia.org/ontology/Place> }
gridReference,grid reference,Place,xsd:string,http://dbpedia.org/ontology/gridReference,20735,what is the grid reference of <A>,what is the grid reference of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/gridReference> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/gridReference> [] . ?a a <http://dbpedia.org/ontology/Place> }
hasVariant,variant or variation,owl:Thing,owl:Thing,http://dbpedia.org/ontology/hasVariant,503,what is the variant or variation of <A>,what is the variant or variation of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/hasVariant> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/hasVariant> [] . ?a a <http://dbpedia.org/ontology/Place> }
height,height,owl:Thing,Length,http://dbpedia.org/ontology/height,281108,what is the height of <A>,what is the height of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/height> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/height> [] . ?a a <http://dbpedia.org/ontology/Place> }
highestPlace,highest place,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/highestPlace,33,what is the highest place of <A>,what is the highest place of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/highestPlace> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/highestPlace> [] . ?a a <http://dbpedia.org/ontology/Place> }
highschool,highschool,owl:Thing,School,http://dbpedia.org/ontology/highschool,20552,what is the highschool of <A>,what is the highschool of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/highschool> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/highschool> [] . ?a a <http://dbpedia.org/ontology/Place> }
homeStadium,home stadium,owl:Thing,Stadium,http://dbpedia.org/ontology/homeStadium,11749,what is the home stadium of <A>,what is the home stadium of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/homeStadium> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/homeStadium> [] . ?a a <http://dbpedia.org/ontology/Place> }
honours,honours,owl:Thing,owl:Thing,http://dbpedia.org/ontology/honours,2345,what is the honours of <A>,what is the honours of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/honours> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/honours> [] . ?a a <http://dbpedia.org/ontology/Place> }
imageSize,image size (px),owl:Thing,xsd:integer,http://dbpedia.org/ontology/imageSize,1666,what is the image size (px) of <A>,what is the image size (px) of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/imageSize> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/imageSize> [] . ?a a <http://dbpedia.org/ontology/Place> }
imdbId,IMDB id,owl:Thing,xsd:string,http://dbpedia.org/ontology/imdbId,74092,what is the IMDB id of <A>,what is the IMDB id of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/imdbId> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/imdbId> [] . ?a a <http://dbpedia.org/ontology/Place> }
incumbent,incumbent,owl:Thing,Person,http://dbpedia.org/ontology/incumbent,58,who is the incumbent of <A>,who is the incumbent of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/incumbent> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/incumbent> [] . ?a a <http://dbpedia.org/ontology/Place> }
individualisedGnd,individualised GND number,owl:Thing,xsd:string,http://dbpedia.org/ontology/individualisedGnd,326,what is the individualised GND number of <A>,what is the individualised GND number of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/individualisedGnd> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/individualisedGnd> [] . ?a a <http://dbpedia.org/ontology/Place> }
influenced,influenced,owl:Thing,owl:Thing,http://dbpedia.org/ontology/influenced,2313,what is the influenced of <A>,what is the influenced of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/influenced> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/influenced> [] . ?a a <http://dbpedia.org/ontology/Place> }
influencedBy,influenced by,owl:Thing,owl:Thing,http://dbpedia.org/ontology/influencedBy,4570,what is the influenced by of <A>,what is the influenced by of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/influencedBy> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/influencedBy> [] . ?a a <http://dbpedia.org/ontology/Place> }
institution,institution,owl:Thing,Organisation,http://dbpedia.org/ontology/institution,19797,what is the institution of <A>,what is the institution of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/institution> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/institution> [] . ?a a <http://dbpedia.org/ontology/Place> }
intercommunality,intercommunality,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/intercommunality,12008,what is the intercommunality of <A>,what is the intercommunality of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/intercommunality> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/intercommunality> [] . ?a a <http://dbpedia.org/ontology/Place> }
introduced,introduced,owl:Thing,xsd:date,http://dbpedia.org/ontology/introduced,88,what is the introduced of <A>,what is the introduced of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/introduced> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/introduced> [] . ?a a <http://dbpedia.org/ontology/Place> }
isPartOf,is part of,owl:Thing,owl:Thing,http://dbpedia.org/ontology/isPartOf,5056,what is the is part of of <A>,what is the is part of of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/isPartOf> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/isPartOf> [] . ?a a <http://dbpedia.org/ontology/Place> }
isPartOfName,is part of (literal),owl:Thing,xsd:string,http://dbpedia.org/ontology/isPartOfName,921,what is the is part of (literal) of <A>,what is the is part of (literal) of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/isPartOfName> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/isPartOfName> [] . ?a a <http://dbpedia.org/ontology/Place> }
isniId,ISNI Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/isniId,293,what is the ISNI Id of <A>,what is the ISNI Id of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/isniId> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/isniId> [] . ?a a <http://dbpedia.org/ontology/Place> }
iso31661Code,ISO 3166-1 code,Place,xsd:string,http://dbpedia.org/ontology/iso31661Code,88,what is the ISO 3166-1 code of <A>,what is the ISO 3166-1 code of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/iso31661Code> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/iso31661Code> [] . ?a a <http://dbpedia.org/ontology/Place> }
jurisdiction,jurisdiction,owl:Thing,owl:Thing,http://dbpedia.org/ontology/jurisdiction,8333,what is the jurisdiction of <A>,what is the jurisdiction of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/jurisdiction> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/jurisdiction> [] . ?a a <http://dbpedia.org/ontology/Place> }
keyPerson,key person,owl:Thing,Person,http://dbpedia.org/ontology/keyPerson,20865,who is the key person of <A>,who is the key person of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/keyPerson> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/keyPerson> [] . ?a a <http://dbpedia.org/ontology/Place> }
knownFor,known for,owl:Thing,owl:Thing,http://dbpedia.org/ontology/knownFor,44078,what is the known for of <A>,what is the known for of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/knownFor> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/knownFor> [] . ?a a <http://dbpedia.org/ontology/Place> }
lake,vastest lake,Place,BodyOfWater,http://dbpedia.org/ontology/lake,2829,what is the vastest lake of <A>,what is the vastest lake of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/lake> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/lake> [] . ?a a <http://dbpedia.org/ontology/Place> }
language,language,owl:Thing,Language,http://dbpedia.org/ontology/language,97311,what is the language of <A>,what is the language of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/language> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/language> [] . ?a a <http://dbpedia.org/ontology/Place> }
languageRegulator,language regulator or academy,owl:Thing,Language,http://dbpedia.org/ontology/languageRegulator,235,what is the language regulator or academy of <A>,what is the language regulator or academy of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/languageRegulator> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/languageRegulator> [] . ?a a <http://dbpedia.org/ontology/Place> }
latinName,name in latin,owl:Thing,xsd:string,http://dbpedia.org/ontology/latinName,1337,what is the name in latin of <A>,what is the name in latin of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/latinName> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/latinName> [] . ?a a <http://dbpedia.org/ontology/Place> }
lccnId,LCCN Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/lccnId,832,what is the LCCN Id of <A>,what is the LCCN Id of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/lccnId> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/lccnId> [] . ?a a <http://dbpedia.org/ontology/Place> }
leader,leader,owl:Thing,Person,http://dbpedia.org/ontology/leader,12914,who is the leader of <A>,who is the leader of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/leader> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/leader> [] . ?a a <http://dbpedia.org/ontology/Place> }
league,league,owl:Thing,SportsLeague,http://dbpedia.org/ontology/league,53550,what is the league of <A>,what is the league of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/league> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/league> [] . ?a a <http://dbpedia.org/ontology/Place> }
length,length,owl:Thing,Length,http://dbpedia.org/ontology/length,101430,what is the length of <A>,what is the length of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/length> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/length> [] . ?a a <http://dbpedia.org/ontology/Place> }
licensee,licensee,owl:Thing,xsd:string,http://dbpedia.org/ontology/licensee,8649,what is the licensee of <A>,what is the licensee of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/licensee> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/licensee> [] . ?a a <http://dbpedia.org/ontology/Place> }
lieutenant,lieutenant,owl:Thing,Person,http://dbpedia.org/ontology/lieutenant,1597,who is the lieutenant of <A>,who is the lieutenant of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/lieutenant> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/lieutenant> [] . ?a a <http://dbpedia.org/ontology/Place> }
localAuthority,local authority,owl:Thing,owl:Thing,http://dbpedia.org/ontology/localAuthority,526,what is the local authority of <A>,what is the local authority of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/localAuthority> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/localAuthority> [] . ?a a <http://dbpedia.org/ontology/Place> }
locatedInArea,located in area,Place,Place,http://dbpedia.org/ontology/locatedInArea,28646,what is the located in area of <A>,what is the located in area of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/locatedInArea> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/locatedInArea> [] . ?a a <http://dbpedia.org/ontology/Place> }
location,location,owl:Thing,Place,http://dbpedia.org/ontology/location,313652,what is the location of <A>,what is the location of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/location> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/location> [] . ?a a <http://dbpedia.org/ontology/Place> }
locationCountry,państwo,owl:Thing,Country,http://dbpedia.org/ontology/locationCountry,10674,what is the państwo of <A>,what is the państwo of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/locationCountry> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/locationCountry> [] . ?a a <http://dbpedia.org/ontology/Place> }
logo,logo,owl:Thing,xsd:string,http://dbpedia.org/ontology/logo,1842,what is the logo of <A>,what is the logo of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/logo> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/logo> [] . ?a a <http://dbpedia.org/ontology/Place> }
lowestPlace,lowest place,Place,PopulatedPlace,http://dbpedia.org/ontology/lowestPlace,38,what is the lowest place of <A>,what is the lowest place of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/lowestPlace> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/lowestPlace> [] . ?a a <http://dbpedia.org/ontology/Place> }
mainInterest,main interest,owl:Thing,owl:Thing,http://dbpedia.org/ontology/mainInterest,1978,what is the main interest of <A>,what is the main interest of <A>,SELECT ?x WHERE { <A> <http://dbpedia.org/ontology/mainInterest> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/mainInterest> [] . ?a a <http://dbpedia.org/ontology/Place> }
